Adv;Construction
allareiðu;BUINN
eftir;BUINN
eftir;BUINN
eftir;BUINN
eftir;BUINN
eftir;BUINN
eftir;BUINN
eftir;BUINN
eftir ;BUINN
er;BUINN
er;BUINN
er;BUINN
fyrr;BUINN
fyrr;BUINN
fyrst;BUINN
inn til þess ;BUINN
jafnskjótt og;BUINN
nær;BUINN
nær;BUINN
nær;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
none;BUINN
nú;BUINN
nú;BUINN
nú;BUINN
nú;BUINN
nú;BUINN
nú;BUINN
nú;BUINN
nú;BUINN
nú;BUINN
nú;BUINN
nú ;BUINN
oft;BUINN
svo;BUINN
svo;BUINN
þá-s;BUINN
þá-s;BUINN
þá-s;BUINN
þá-s;BUINN
þá-s;BUINN
þá-s;BUINN
þá-s;BUINN
þá-s;BUINN
þá-t;BUINN
þá-s;BUINN
þá-s;BUINN
þá-s;BUINN
þá-t;BUINN
þegar;BUINN
þegar;BUINN
þegar;BUINN
þegar;BUINN
þegar;BUINN
þegar;BUINN
þegar;BUINN
þegar;BUINN
þegar;BUINN
þegar;BUINN