year;text;       r/T;rt/T;t/T;r/1Kw;
1150;firstgrammar;7;7;182;1.73;
1150;homiliubok;109;101;2109;3.07;
1210;jartein;23;23;822;2.32;
1210;thorlakur;27;26;540;2.7;
1250;sturlunga;52;52;2224;2.51;
1250;thetubrot;0;0;246;0;
1260;jomsvikingar;45;45;1532;2.38;
1270;gragas;7;7;346;1.27;
1275;morkin;18;18;2190;0.86;
1300;alexander;46;45;1383;2.2;
1310;grettir;17;17;2057;0.93;
1325;arni;28;28;1125;1.47;
1350;bandamennM;5;5;1223;0.44;
1350;finnbogi;25;25;2342;1.22;
1350;marta;48;46;977;3.04;
1400;gunnar;3;3;936;0.4;
1400;gunnar2;1;1;340;0.34;
1400;viglundur;6;6;1290;0.5;
1450;bandamenn;0;0;1034;0;
1450;ectorssaga;13;13;1950;0.66;
1450;judit;7;7;491;1.17;
1450;vilhjalmur;14;14;2414;0.65;
1475;aevintyri;10;10;1201;0.63;
1480;jarlmann;5;5;1283;0.4;
1525;erasmus;22;22;462;2.8;
1525;georgius;24;24;1060;1.24;
1540;ntacts;36;36;1185;2.28;
1540;ntjohn;56;55;1685;2.86;
1593;eintal;36;36;1552;1.67;
1611;okur;22;21;629;1.55;
1628;olafuregils;61;59;906;3.96;
1630;gerhard;10;10;701;0.82;
1650;illugi;11;11;1929;0.61;
1659;pislarsaga;20;20;324;2.12;
1661;indiafari;68;64;1388;3.19;
1675;armann;6;6;1018;0.59;
1675;magnus;4;4;204;1.33;
1675;modars;6;6;373;1.7;
1680;skalholt;31;31;870;3.41;
1720;vidalin;37;35;1112;1.77;
1725;biskupasogur;32;32;1105;1.56;
1745;klim;81;78;874;4.1;
1790;fimmbraedra;14;14;1603;0.83;
1791;jonsteingrims;105;103;1518;5.13;
1830;hellismenn;9;9;1411;0.71;
1835;jonasedli;3;3;163;0.98;
1850;piltur;8;8;1440;0.49;
1859;hugvekjur;7;7;1107;0.38;
1861;orrusta;5;5;1804;0.28;
1882;torfhildur;2;2;2000;0.09;
1883;voggur;0;0;130;0;
1888;grimur;0;0;625;0;
1888;vordraumur;0;0;759;0;
1902;fossar;0;0;1659;0;
1907;leysing;1;1;1520;0.05;
1908;ofurefli;0;0;1743;0;
1920;arin;3;3;1149;0.15;
1985;margsaga;6;6;1705;0.28;
1985;sagan;0;0;2008;0;
2008;mamma;4;4;1845;0.19;
2008;ofsi;2;2;1210;0.1;