year;text;r/T;rt/T;t/T;r/1Kw;
1150;firstgrammar;0;0;182;0;
1150;homiliubok;0;0;2109;0;
1210;jartein;1;1;822;0.1;
1210;thorlakur;3;3;540;0.3;
1250;sturlunga;2;2;2224;0.1;
1250;thetubrot;0;0;246;0;
1260;jomsvikingar;6;6;1532;0.32;
1270;gragas;0;0;346;0;
1275;morkin;1;1;2190;0.05;
1300;alexander;11;11;1383;0.53;
1310;grettir;16;16;2057;0.88;
1325;arni;11;11;1125;0.58;
1350;bandamennM;1;1;1223;0.09;
1350;finnbogi;9;9;2342;0.44;
1350;marta;2;2;977;0.13;
1400;gunnar;2;2;936;0.26;
1400;gunnar2;4;4;340;1.37;
1400;viglundur;4;4;1290;0.33;
1450;bandamenn;1;1;1034;0.1;
1450;ectorssaga;6;6;1950;0.3;
1450;judit;0;0;491;0;
1450;vilhjalmur;4;4;2414;0.19;
1475;aevintyri;7;7;1201;0.44;
1480;jarlmann;4;4;1283;0.32;
1525;erasmus;3;3;462;0.38;
1525;georgius;7;7;1060;0.36;
1540;ntacts;0;0;1185;0;
1540;ntjohn;0;0;1685;0;
1593;eintal;4;4;1552;0.19;
1611;okur;6;6;629;0.42;
1628;olafuregils;4;4;906;0.26;
1630;gerhard;15;14;701;1.24;
1650;illugi;9;9;1929;0.5;
1659;pislarsaga;21;19;324;2.23;
1661;indiafari;13;13;1388;0.61;
1675;armann;2;2;1018;0.2;
1675;magnus;2;2;204;0.66;
1675;modars;0;0;373;0;
1680;skalholt;2;2;870;0.22;
1720;vidalin;36;36;1112;1.72;
1725;biskupasogur;3;3;1105;0.15;
1745;klim;13;13;874;0.66;
1790;fimmbraedra;7;7;1603;0.41;
1791;jonsteingrims;5;5;1518;0.24;
1830;hellismenn;0;0;1411;0;
1835;jonasedli;6;6;163;1.96;
1850;piltur;22;22;1440;1.35;
1859;hugvekjur;49;43;1107;2.68;
1861;orrusta;7;7;1804;0.39;
1882;torfhildur;23;23;2000;1.02;
1883;voggur;8;8;130;4.44;
1888;grimur;24;24;625;3.67;
1888;vordraumur;41;41;759;4.18;
1902;fossar;64;64;1659;3.53;
1907;leysing;55;55;1520;2.96;
1908;ofurefli;27;27;1743;1.5;
1920;arin;25;25;1149;1.29;
1985;margsaga;51;51;1705;2.42;
1985;sagan;57;57;2008;2.81;
2008;mamma;105;100;1845;4.98;
2008;ofsi;51;49;1210;2.57;